number,filename,tempo,scale,chromagram,zero_crossing_rate,spectral_rolloff,spectral_centroid,spectral_bandwidth,rmse,danceability,percentile_10,percentile_90,dynamic_comp
51,supercollider/SC_200330_194258.aiff,172.265625,0.0,0.4076782284429788,0.02684326345903222,2084.503307167405,1100.9994307757402,1073.9342319906007,0.19304731582573761,0.8076869313498917,123.61235759471741,466.74056054456935,3.7865445034627907
52,supercollider/SC_200330_195732.aiff,86.1328125,1.0,0.30374285768984416,0.02387967641124215,1675.7858200817896,1016.9524237492453,1139.0668491260274,0.13452739586504436,0.9865696962981303,76.80645326139555,263.9435439601358,5.050379699795881
53,supercollider/SC_200331_201600.aiff,107.666015625,0.0,0.23019653154962186,0.029642188911731572,2259.7472630433685,1296.4890697230126,1362.498483524359,0.14082170173734282,1.0994425286792928,107.31017943703404,235.41438781870565,3.229498728109998
54,supercollider/SC_200331_201845.aiff,129.19921875,1.0,0.5227309849158264,0.03933608787641065,4021.0536565333496,2258.3612013579304,2305.9654378342184,0.16172507997471589,1.4642778506360385,104.48514134292456,315.6439202148522,8.296098038887004
55,supercollider/SC_200331_202110.aiff,150.732421875,0.0,0.3671091497574748,0.0462926221974244,6427.3187074157395,2734.9584687770853,3186.318976918311,0.23867698799223272,0.873433778719567,199.53176924311632,408.0785801415734,2.578054119374078
56,supercollider/SC_200331_202450.aiff,172.265625,1.0,0.5724618001996045,0.016549610678556093,1408.8597073838055,863.5496499250421,1124.3415192802613,0.2345333144854277,1.5829467080201751,297.80913245275786,353.75248033854666,1.4980454898062292
57,supercollider/SC_200331_202731.aiff,86.1328125,0.0,0.3091521438476224,0.018228215186301282,853.622408632695,668.8880846476279,810.9793860813375,0.1588843435295317,1.153822601233565,112.02565062769139,259.6058687655062,3.8696236457413087
58,supercollider/SC_200331_203026.aiff,107.666015625,1.0,0.3610235609555161,0.026686711212370897,2157.5872959171597,1160.5633228215297,1184.014230372869,0.13182534666634838,1.3226666961580975,70.23713366199223,241.65309595106567,3.8138532013837665
59,supercollider/SC_200331_203255.aiff,129.19921875,0.0,0.3718066904518985,0.029346377984137674,2391.5350105534767,1260.753313964577,1301.875583986126,0.1205459007133497,1.1950656208670334,87.30606388010273,175.55504372772228,3.1129372002643385
60,supercollider/SC_200331_203528.aiff,150.732421875,1.0,0.5377861865044085,0.03188949425883959,3419.955676787984,1928.689139495188,2118.930353236091,0.16662338807492796,1.4200172754853961,121.49976909538407,329.0658094579519,4.50695920707756
61,supercollider/SC_200331_203820.aiff,172.265625,0.0,0.3546122283977139,0.05267500208308782,5082.405815587457,2387.5982950504913,2467.9071425837665,0.18304312610988024,0.9153926980037934,131.64814064392445,395.69112034627994,3.434360721389606
